Manhole_Id,Wire_Type,Duct_Bank_Id,Duct_Id,Primary Wires Type,Feeder No,No. Conductors,"Cable TempReading","Cable/JointCondition",Fireproofing
779390-566883,Primary Wire,04W02X02,02T01W,Primary Wire 1 / 0 EPR,No Tag,1,65,Cable Good,No
779390-566883,Primary Wire,04W02X02,02T01W,Primary Wire 1 / 0 EPR,No Tag,1,65,Cable Good,No
779390-566883,Primary Wire,04W02X02,02T01W,Primary Wire 1 / 0 EPR,No Tag,1,65,Cable Good,No
